utt_id,primary_language,family,gender,duration_s,reference_text,reference_normalized,hypothesis_text,hypothesis_normalized,wer,n_sub,n_del,n_ins,ref_len_words
svarah_00019,Nepali,Indo-Aryan,Male,7.9886875,Meghalaya is one of the less developed or underdeveloped states in northeastern India.,meghalaya is one of the less developed or underdeveloped states in northeastern india,Meghalaya is one of the less developed or underdeveloped states in North Eastern India.,meghalaya is one of the less developed or underdeveloped states in north eastern india,0.15384615384615385,1,0,1,13
svarah_00033,Assamese,Indo-Aryan,Male,0.395,Cat,cat,Cat,cat,0.0,0,0,0,1
svarah_00042,Telugu,Dravidian,Female,1.48,that I came here.,that i came here,that I came here.,that i came here,0.0,0,0,0,4
svarah_00049,Tamil,Dravidian,Female,8.458125,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift",the change in season for example it is extremely cold during the winters and is extremely hot during the summer so this shift,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer. So this shift",the change in season for example it is extremely cold during the winters and is extremely hot during the summer so this shift,0.0,0,0,0,23
svarah_00052,Marathi,Indo-Aryan,Female,1.24,to everybody.,to everybody,to everybody.,to everybody,0.0,0,0,0,2
svarah_00061,Malayalam,Dravidian,Female,8.9308125,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.,it's about an abused malayali migrant worker employed in saudi arabia as a goddard against his will,It's about abused Malayali migrant worker employed in Saudi Arabia as a Godot against his will.,it's about abused malayali migrant worker employed in saudi arabia as a godot against his will,0.11764705882352941,1,1,0,17
svarah_00098,Kashmiri,Indo-Aryan,Female,5.21525,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.,anurag kashyap is an indian filmmaker and actor known for his works in hindi cinema,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.,anurag kashyap is an indian filmmaker and actor known for his works in hindi cinema,0.0,0,0,0,15
svarah_00130,Urdu,Indo-Aryan,Male,6.2666875,The promotion of consumption patterns characterized by over-exploitation,the promotion of consumption patterns characterized by over exploitation,The promotion of consumption patterns characterized by over exploitation,the promotion of consumption patterns characterized by over exploitation,0.0,0,0,0,9
svarah_00166,Odia,Indo-Aryan,Female,2.12,you can talk about common things if you travel,you can talk about common things if you travel,You can talk about common things if you travel,you can talk about common things if you travel,0.0,0,0,0,9
svarah_00189,Bodo,Sino-Tibetan,Male,8.826,is the largest state in northeast India and lies in the middle reach of the river Brahmaputra and Barak,is the largest state in northeast india and lies in the middle reach of the river brahmaputra and barak,is the largest state in Northeast India and lies in the middle reach of the river Brahmaputra and Barab.,is the largest state in northeast india and lies in the middle reach of the river brahmaputra and barab,0.05263157894736842,1,0,0,19
