utt_id,primary_language,family,gender,duration_s,reference_text,reference_normalized,hypothesis_text,hypothesis_normalized,wer,n_sub,n_del,n_ins,ref_len_words
svarah_00001,Kannada,Dravidian,Female,3.1000625,There is a gradual shift in the mentality,there is a gradual shift in the mentality,There is a gradual shift in the mentality.,there is a gradual shift in the mentality,0.0,0,0,0,8
svarah_00004,Maithili,Indo-Aryan,Male,3.6943125,How much money is left in my Arunachal Pradesh Rural Bank account?,how much money is left in my arunachal pradesh rural bank account,How much money is left in my Arunachal Pradesh Rural Bank account?,how much money is left in my arunachal pradesh rural bank account,0.0,0,0,0,12
svarah_00011,Assamese,Indo-Aryan,Female,6.1086875,What are the main social welfare and development programs and initiatives in your district?,what are the main social welfare and development programs and initiatives in your district,What are the main social welfare and development programs and initiatives in your district?,what are the main social welfare and development programs and initiatives in your district,0.0,0,0,0,14
svarah_00012,Marathi,Indo-Aryan,Female,2.5345625,normal competitions what we have.,normal competitions what we have,The normal competitions. What we have.,the normal competitions what we have,0.2,0,0,1,5
svarah_00013,Odia,Indo-Aryan,Female,3.865125,what is an usual word and what is unusual words and phrases,what is an usual word and what is unusual words and phrases,What is an usual word and what is unusual words and phrases.,what is an usual word and what is unusual words and phrases,0.0,0,0,0,12
svarah_00014,Nepali,Indo-Aryan,Male,11.12,see this track as my professionalism but I used to manage some time in writing as my,see this track as my professionalism but i used to manage some time in writing as my,"See, and distract as my professionalism, but I used to manage some time in writing as my.",see and distract as my professionalism but i used to manage some time in writing as my,0.11764705882352941,2,0,0,17
svarah_00015,Malayalam,Dravidian,Male,1.4345,Can you speak 5 numbers,can you speak 5 numbers,Can you speak five numbers?,can you speak five numbers,0.2,1,0,0,5
svarah_00016,Nepali,Indo-Aryan,Male,3.8423125,Will I be able to pay using UPI apps on Hotstar website?,will i be able to pay using upi apps on hotstar website,Will I be able to pay using UPI apps on our Star website?,will i be able to pay using upi apps on our star website,0.16666666666666666,1,0,1,12
svarah_00022,Urdu,Indo-Aryan,Male,25.48975,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,it is not only restricted to school books the school goers are asked by their rss appointed teachers to attend the rss shakhas from a young age thus enabling the sangh parivar to indoctrinate young impressionable minds,"It is not only restricted to school books. The schoolgoers are asked by their RSS-appointed teachers to attend the RSS shikhas from a young age, thus enabling the sangparyaw to indoctrinate young impressionable minds.",it is not only restricted to school books the schoolgoers are asked by their rss appointed teachers to attend the rss shikhas from a young age thus enabling the sangparyaw to indoctrinate young impressionable minds,0.13513513513513514,3,2,0,37
svarah_00024,Punjabi,Indo-Aryan,Male,12.1811875,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",on each and every subject and he definitely deals with handles all the good part of the happenings around the world,"On each and every subject, and he definitely deals with handles all the good part of the happenings around the world.",on each and every subject and he definitely deals with handles all the good part of the happenings around the world,0.0,0,0,0,21
svarah_00025,Maithili,Indo-Aryan,Male,4.48,So these are some of the features of Mithila cooking.,so these are some of the features of mithila cooking,So these are some of the features of Mithla cooking.,so these are some of the features of mithla cooking,0.1,1,0,0,10
svarah_00029,Tamil,Dravidian,Female,8.0826875,"And also, people speaking English have different accents in different regions.",and also people speaking english have different accents in different regions,"And also, people speaking English, have different accents, in different regions.",and also people speaking english have different accents in different regions,0.0,0,0,0,11
svarah_00030,Punjabi,Indo-Aryan,Male,7.0,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",education health care poverty reduction women's empowerment,"District, education, health care, poverty reduction, women's empowerment.",district education health care poverty reduction women's empowerment,0.14285714285714285,0,0,1,7
svarah_00031,Marathi,Indo-Aryan,Male,1.484875,source language,source language,Source language.,source language,0.0,0,0,0,2
svarah_00033,Assamese,Indo-Aryan,Male,0.395,Cat,cat,Cat.,cat,0.0,0,0,0,1
svarah_00034,Kashmiri,Indo-Aryan,Female,5.0868125,"Through poetry, I can put my thoughts on a display more creatively.",through poetry i can put my thoughts on a display more creatively,"Through poetry, I can put my thoughts on a display more creatively.",through poetry i can put my thoughts on a display more creatively,0.0,0,0,0,12
svarah_00035,Malayalam,Dravidian,Female,1.5471875,The main food of,the main food of,The main foot of.,the main foot of,0.25,1,0,0,4
svarah_00036,Nepali,Indo-Aryan,Male,10.13425,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,"Who is physically challenged or disordered in real life, but with the guts and a great contribution in the literature.",who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,0.0,0,0,0,20
svarah_00040,Hindi,Indo-Aryan,Female,9.697,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,can you list all the vaccination centres where first dose of covaxin is available for age groups 15 17 years,Can you list all the vaccination centers where first dose of COVID vaccine is available for age group fifteen to seventeen years.,can you list all the vaccination centers where first dose of covid vaccine is available for age group fifteen to seventeen years,0.35,5,0,2,20
svarah_00044,Kashmiri,Indo-Aryan,Female,6.55,"In the university, I learned the technicalities of language since I am a linguistics student.",in the university i learned the technicalities of language since i am a linguistics student,"In the university, I learned the technicalities of language since I'm a linguistics student.",in the university i learned the technicalities of language since i'm a linguistics student,0.13333333333333333,1,1,0,15
svarah_00045,Malayalam,Dravidian,Female,11.12,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,",embroidery and there we use to teach us the basic embroidery patterns like running stage,"Embroidery. And their view, they used to teach us the basic embroidery patterns like running stitch.",embroidery and their view they used to teach us the basic embroidery patterns like running stitch,0.3333333333333333,4,0,1,15
svarah_00051,Gujarati,Indo-Aryan,Male,12.4730625,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,and not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,"And not much is left, at the behest of the writer or author. And grammar punctuation is very well structured and written, and documented as well.",and not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,0.0,0,0,0,26
svarah_00055,Telugu,Dravidian,Female,9.2244375,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal,you are 2 hours late than the delivery time for my products pantene bamboo shampoo and 24 mantra chana dal,You are two hours late than the delivery time for my products: Pantene Bamboo Shampoo and Twenty Four Mantra Channa Dal.,you are two hours late than the delivery time for my products pantene bamboo shampoo and twenty four mantra channa dal,0.2,3,0,1,20
svarah_00058,Kashmiri,Indo-Aryan,Male,2.589375,show me what day the thirty first is on,show me what day the thirty first is on,Show me what day the thirty-first is on.,show me what day the thirty first is on,0.0,0,0,0,9
svarah_00062,Kashmiri,Indo-Aryan,Female,6.7960625,The intricate yet beautiful floral motifs on paper mashi products are in,the intricate yet beautiful floral motifs on paper mashi products are in,The intricate yet beautiful floral motifs on paper mache products are an.,the intricate yet beautiful floral motifs on paper mache products are an,0.16666666666666666,2,0,0,12
svarah_00063,Odia,Indo-Aryan,Male,6.56,So there are a lot of beaches throughout the eastern coastline of Odisha.,so there are a lot of beaches throughout the eastern coastline of odisha,"So there are a lot of beaches throughout the, um, the eastern coastline of Odessa.",so there are a lot of beaches throughout the um the eastern coastline of odessa,0.23076923076923078,1,0,2,13
svarah_00065,Maithili,Indo-Aryan,Female,1.427,I use some words,i use some words,I use some words.,i use some words,0.0,0,0,0,4
svarah_00068,Kannada,Dravidian,Female,4.14975,with the leading newspapers such as Bangalore Mirror,with the leading newspapers such as bangalore mirror,"Ah, with the leading newspapers such as Bangalore Mirror.",ah with the leading newspapers such as bangalore mirror,0.125,0,0,1,8
