utt_id,primary_language,family,gender,duration_s,reference_text,reference_normalized,hypothesis_text,hypothesis_normalized,wer,n_sub,n_del,n_ins,ref_len_words
svarah_00001,Kannada,Dravidian,Female,3.1000625,There is a gradual shift in the mentality,there is a gradual shift in the mentality,There is a gradual shift in the mentality.,there is a gradual shift in the mentality,0.0,0,0,0,8
svarah_00004,Maithili,Indo-Aryan,Male,3.6943125,How much money is left in my Arunachal Pradesh Rural Bank account?,how much money is left in my arunachal pradesh rural bank account,How much money is left in my Arunacharya produce rural bank account?,how much money is left in my arunacharya produce rural bank account,0.16666666666666666,2,0,0,12
svarah_00011,Assamese,Indo-Aryan,Female,6.1086875,What are the main social welfare and development programs and initiatives in your district?,what are the main social welfare and development programs and initiatives in your district,Water the main social welfare and development programs and initiatives in your list.,water the main social welfare and development programs and initiatives in your list,0.21428571428571427,2,1,0,14
svarah_00012,Marathi,Indo-Aryan,Female,2.5345625,normal competitions what we have.,normal competitions what we have,the normal competitions what we have,the normal competitions what we have,0.2,0,0,1,5
svarah_00013,Odia,Indo-Aryan,Female,3.865125,what is an usual word and what is unusual words and phrases,what is an usual word and what is unusual words and phrases,What is an usual word and what is unusual words and phrases?,what is an usual word and what is unusual words and phrases,0.0,0,0,0,12
svarah_00014,Nepali,Indo-Aryan,Male,11.12,see this track as my professionalism but I used to manage some time in writing as my,see this track as my professionalism but i used to manage some time in writing as my,"see and distract as my provisionalism, but I used to manage some time in writing as my",see and distract as my provisionalism but i used to manage some time in writing as my,0.17647058823529413,3,0,0,17
svarah_00015,Malayalam,Dravidian,Male,1.4345,Can you speak 5 numbers,can you speak 5 numbers,Can you speak fine numbers?,can you speak fine numbers,0.2,1,0,0,5
svarah_00016,Nepali,Indo-Aryan,Male,3.8423125,Will I be able to pay using UPI apps on Hotstar website?,will i be able to pay using upi apps on hotstar website,will I be able to pay using UPI apps on our style website?,will i be able to pay using upi apps on our style website,0.16666666666666666,1,0,1,12
svarah_00022,Urdu,Indo-Aryan,Male,25.48975,it is not only restricted to school books the school goers are asked by their RSS appointed teachers to attend the RSS shakhas from a young age thus enabling the Sangh Parivar to indoctrinate young impressionable minds,it is not only restricted to school books the school goers are asked by their rss appointed teachers to attend the rss shakhas from a young age thus enabling the sangh parivar to indoctrinate young impressionable minds,It is not only restricted to school books. The school goers are asked by the RSS appointed teachers to attend the RSS Shaffa's from a young age. This enabling the son perivar to indoctrinate young impressionable minds,it is not only restricted to school books the school goers are asked by the rss appointed teachers to attend the rss shaffa's from a young age this enabling the son perivar to indoctrinate young impressionable minds,0.13513513513513514,5,0,0,37
svarah_00024,Punjabi,Indo-Aryan,Male,12.1811875,"on each and every subject and he definitely deals with, handles all the good part of the happenings around the world.",on each and every subject and he definitely deals with handles all the good part of the happenings around the world,on each and every subject and heat definitely deals with handles all the good part of the happenings around the world.,on each and every subject and heat definitely deals with handles all the good part of the happenings around the world,0.047619047619047616,1,0,0,21
svarah_00025,Maithili,Indo-Aryan,Male,4.48,So these are some of the features of Mithila cooking.,so these are some of the features of mithila cooking,So these are some of the features of Metal Aguking.,so these are some of the features of metal aguking,0.2,2,0,0,10
svarah_00029,Tamil,Dravidian,Female,8.0826875,"And also, people speaking English have different accents in different regions.",and also people speaking english have different accents in different regions,and also people speaking English have different accents in different regions.,and also people speaking english have different accents in different regions,0.0,0,0,0,11
svarah_00030,Punjabi,Indo-Aryan,Male,7.0,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",education health care poverty reduction women's empowerment,district education health care poverty reduction woman's empowerment.,district education health care poverty reduction woman's empowerment,0.2857142857142857,1,0,1,7
svarah_00031,Marathi,Indo-Aryan,Male,1.484875,source language,source language,source language.,source language,0.0,0,0,0,2
svarah_00033,Assamese,Indo-Aryan,Male,0.395,Cat,cat,Again.,again,1.0,1,0,0,1
